seq,x,y
1,841.935,-589.88
2,1111.195,-458.605
3,1154.856,-476.156
4,1198.724,-531.879
5,1242.602,-536.016
6,1398.018,-220.8
7,1426.103,-191.595
8,1510.464,-181.618
9,1550.07,-214.04
10,1198.227,-758.014
